age,marital,education,default,housing,loan,contact,day,campaign,pdays,previous,poutcome,y,job_A,job_B,job_C,job_D,Balance,Duration,pred Y,prob Y=0,prob Y=1
53,1,2,0,0,0,0,5,1,-1,0,0,0,0,0,1,0,-0.44840465028500925,5.466797848829499,0,0.78,0.22
36,2,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.28123066784661915,1.2380816020278316,0,0.93,0.07
37,0,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.4474193419405787,-0.47049061890213495,0,1.0,0.0
44,2,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,0.4019164509585899,-0.3811788891717049,0,1.0,0.0
50,1,2,0,1,0,0,5,2,-1,0,0,0,0,0,1,0,-0.431325972314879,-0.30351651549307,0,1.0,0.0
60,1,0,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4132619860003182,-0.9170492675542853,0,1.0,0.0
54,1,2,0,1,0,0,5,1,-1,0,0,0,0,1,0,0,-0.2736766372059846,4.791135197825375,0,0.82,0.18
58,1,0,0,1,0,0,5,1,-1,0,0,0,0,1,0,0,-0.4158894749187998,1.3895232307011696,0,0.94,0.06
36,0,1,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.5035819175731223,-0.06276315708930202,0,1.0,0.0
58,1,3,0,1,0,0,5,1,-1,0,0,0,1,0,0,0,-0.5669700877314903,0.37602925419498484,0,0.98,0.02
44,1,2,0,1,0,0,5,2,-1,0,0,0,0,0,1,0,-0.4474193419405787,-0.12877617471614164,0,1.0,0.0
55,2,2,0,0,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4474193419405787,-0.3811788891717049,0,1.0,0.0
29,0,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4474193419405787,0.4070942036664388,0,1.0,0.0
54,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.023408317720614767,0.030431691325059795,0,1.0,0.0
48,2,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.5275577539542666,-0.020048851566052853,0,1.0,0.0
32,1,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4474193419405787,-0.3073996341770018,0,1.0,0.0
42,0,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.4723804866661536,2.0535365256534974,0,0.81,0.19
24,0,2,0,1,1,0,5,1,-1,0,0,0,0,0,1,0,-0.4812482617660289,-0.439425669430681,0,1.0,0.0
38,0,3,0,0,1,0,5,1,-1,0,0,0,1,0,0,0,-0.36760936604170086,-0.3268152275966605,0,0.97,0.03
38,0,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.3081624292610553,-0.5986335354718825,0,1.0,0.0
47,1,0,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.3469178908086585,-0.9519973357096709,0,1.0,0.0
40,0,0,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.43953687518513396,-0.2841009220734113,0,1.0,0.0
46,1,1,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.38862927738955344,5.901707141429854,0,0.82,0.18
32,1,3,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.4474193419405787,-0.4666075002182032,0,1.0,0.0
53,2,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.12259602439329416,2.150614492751791,0,0.84,0.16
57,1,1,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.3656387493528397,-0.3656464144359779,0,1.0,0.0
33,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.1879548112405233,0.5158215268165276,0,0.99,0.01
49,1,0,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.3968401802598084,0.3837954915628483,0,0.98,0.02
51,1,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,1.6972684877700055,-0.6491140783629951,0,1.0,0.0
60,1,3,0,0,0,0,5,1,-1,0,0,0,0,1,0,0,-0.414575730459559,1.0478087865151762,0,0.93,0.07
59,2,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4280416111667771,0.057613522112581986,0,0.99,0.01
55,1,2,0,1,0,0,5,2,-1,0,0,0,0,0,1,0,-0.05165382359429168,-0.38894512653956836,0,1.0,0.0
35,0,2,0,1,1,0,5,1,-1,0,0,0,0,0,1,0,3.567055289384455,-0.31516587154486525,0,0.98,0.02
57,1,2,0,1,1,0,5,1,-1,0,0,0,0,0,1,0,1.5018489994579385,-0.0006332581463941429,0,0.99,0.01
31,1,2,0,1,1,0,5,1,-1,0,0,0,0,0,0,1,-0.43920843907032375,-0.33458146496452396,0,1.0,0.0
54,1,2,0,1,1,0,5,1,-1,0,0,0,0,0,1,0,-0.3548003575641032,-0.4044776012752953,0,1.0,0.0
55,1,1,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.43986531129994416,0.12750965842335335,0,1.0,0.0
43,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,0.18876141244677228,-0.2996333968091383,0,0.99,0.01
53,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.32129987385346315,-0.319048990228797,0,1.0,0.0
44,1,2,0,0,1,0,5,1,-1,0,0,0,0,0,1,0,-0.25626952312104423,-0.18313983629118602,0,0.99,0.01
55,2,2,0,0,0,0,5,1,-1,0,0,0,0,0,0,1,-0.41753165549285076,0.3527305420913944,0,1.0,0.0
49,2,2,0,1,1,0,5,1,-1,0,0,0,0,0,0,1,-0.4474193419405787,0.05373040342865025,0,1.0,0.0
55,2,2,1,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.4470909058257685,-0.19478919234298125,0,0.99,0.01
45,0,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.37976150228967814,-0.25303597260195737,0,1.0,0.0
47,2,2,0,0,0,0,5,1,-1,0,0,0,0,0,0,1,-0.3935558191117064,-0.17925671760725428,0,0.99,0.01
42,0,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.22079842272154296,-0.9248155049221488,0,1.0,0.0
59,1,2,0,1,0,0,5,1,-1,0,0,1,0,0,0,1,0.3221064750597121,3.0437317900560914,1,0.35,0.65
46,1,3,0,1,1,0,5,1,-1,0,0,0,1,0,0,0,-0.40242359421158175,-0.04723068235357505,0,1.0,0.0
51,1,1,0,1,0,0,5,2,-1,0,0,0,0,0,1,0,-0.39059989407841467,1.051691905199108,0,0.95,0.05
56,1,2,0,0,0,0,5,1,-1,0,0,1,0,0,0,1,-0.43263971677411983,4.694057230727082,1,0.22,0.78
41,1,2,0,1,0,0,5,1,-1,0,0,1,0,0,1,0,-0.030305476131628897,4.391173973380406,1,0.24,0.76
46,2,2,0,1,1,0,5,2,-1,0,0,0,0,0,1,0,-0.44216436410361554,-0.2724515660216161,0,0.99,0.01
57,1,2,0,1,0,0,5,2,-1,0,0,0,0,1,0,0,-0.2877993901428231,-0.30351651549307,0,1.0,0.0
42,0,2,0,0,0,0,5,1,-1,0,0,0,0,0,1,0,-0.43099753620006886,-0.81608818177206,0,1.0,0.0
30,1,2,0,1,1,0,5,2,-1,0,0,0,0,0,1,0,-0.3974970524894288,-0.17537359892332255,0,1.0,0.0
60,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.35217286864562164,1.2613803141314222,0,0.86,0.14
60,1,0,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.42968379174082805,-0.1443086494518686,0,1.0,0.0
57,2,2,0,0,0,0,5,1,-1,0,0,0,1,0,0,0,-0.4595714781885559,-0.33069834628059225,0,0.99,0.01
36,1,3,0,1,1,0,5,1,-1,0,0,0,0,0,1,0,-0.41424729434474883,0.6517306807541385,0,1.0,0.0
55,1,2,0,0,0,0,5,1,-1,0,0,0,0,0,1,0,-0.32162830996827335,0.11197718368762638,0,1.0,0.0
60,1,3,0,1,0,0,5,1,-1,0,0,0,0,1,0,0,-0.42081601664095275,-0.6102828915236777,0,1.0,0.0
39,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4474193419405787,-0.21420478576263996,0,1.0,0.0
46,1,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.3722074716490436,-0.2375034978662304,0,1.0,0.0
44,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.6687852833226512,-0.004516376830325885,0,1.0,0.0
53,1,1,0,0,0,0,5,1,-1,0,0,0,0,0,1,0,-0.41786009160766097,-0.5209711617932475,0,1.0,0.0
52,1,1,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4053795192448735,-0.11324369998041467,0,1.0,0.0
59,1,1,0,1,0,0,5,3,-1,0,0,0,0,0,1,0,-0.38862927738955344,-0.7889063509845378,0,1.0,0.0
27,0,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4474193419405787,0.5507695949719132,0,1.0,0.0
44,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.42968379174082805,-0.2375034978662304,0,1.0,0.0
47,1,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.397825488604239,-0.2646853286537526,0,1.0,0.0
34,1,2,0,0,1,0,5,1,-1,0,0,0,0,0,0,1,-0.42738473893715667,-0.920932386238217,0,1.0,0.0
59,0,2,0,1,0,0,5,1,-1,0,0,0,0,1,0,0,-0.4375662584962728,0.9934451249401318,0,0.95,0.05
45,1,3,0,1,0,0,5,2,-1,0,0,0,0,0,1,0,-0.2756472538948458,2.294289884057265,0,0.84,0.16
29,2,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.4372378223814626,-0.24915285391802564,0,0.99,0.01
46,2,2,0,0,0,0,5,1,-1,0,0,0,0,0,1,0,-0.42147288887057316,-0.4433087881146128,0,1.0,0.0
56,1,1,0,1,1,0,5,2,-1,0,0,0,1,0,0,0,-0.45858616984412537,-0.17925671760725428,0,0.99,0.01
36,1,1,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.30027996250561056,0.10809406500369463,0,1.0,0.0
59,2,1,0,1,0,0,5,1,-1,0,0,0,0,1,0,0,-0.42081601664095275,-0.5869841794200872,0,1.0,0.0
44,1,2,0,1,0,0,5,2,-1,0,0,0,0,0,1,0,-0.4001245414079104,-0.043347563669643305,0,1.0,0.0
41,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.3321382656421996,1.0089775996758588,0,0.93,0.07
33,0,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.46942456163286184,0.41097732235037054,0,1.0,0.0
59,2,3,0,0,0,0,5,1,-1,0,0,0,0,0,1,0,-0.36136907986030714,-0.3112827528609335,0,0.98,0.02
57,1,1,0,0,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4474193419405787,-0.6219322475754728,0,1.0,0.0
56,2,0,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.42902691951120764,0.7022112236452512,0,0.99,0.01
51,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.43888000295551355,-0.695711502570176,0,1.0,0.0
34,1,0,0,1,0,0,5,3,-1,0,0,0,0,0,0,1,-0.4464340335961481,-0.5365036365289746,0,1.0,0.0
43,1,2,0,1,1,0,5,2,-1,0,0,0,0,0,0,1,-0.4339534612333606,-0.5093218057414524,0,1.0,0.0
52,1,3,0,0,1,0,5,1,-1,0,0,0,0,0,1,0,-0.4451202891369073,-0.3229321089127287,0,1.0,0.0
33,0,2,0,1,0,0,5,2,-1,0,0,0,0,0,1,0,-0.412933549885508,0.014899216589332825,0,1.0,0.0
29,0,2,0,1,1,0,5,1,-1,0,0,0,0,0,0,1,-0.1787586000258378,-0.7656076388809473,0,0.98,0.02
34,1,2,0,1,1,0,5,1,-1,0,0,0,0,0,0,1,-0.4526743197775418,-0.6995946212541078,0,1.0,0.0
31,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4474193419405787,-0.4471919067985445,0,1.0,0.0
55,1,2,0,1,0,0,5,1,-1,0,0,1,0,0,0,1,0.3657884783294683,1.245847839395695,1,0.41,0.59
55,1,0,0,0,0,0,5,1,-1,0,0,0,0,0,1,0,-0.058222545890495615,1.626393470421006,0,0.86,0.14
32,0,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.376148705026766,0.33719806735566743,0,1.0,0.0
38,0,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,0.10599551151460272,-0.2841009220734113,0,1.0,0.0
55,0,2,0,1,1,0,5,2,-1,0,0,0,0,0,0,1,-0.18401357786280093,-0.6141660102076094,0,0.99,0.01
28,0,3,0,1,0,0,5,2,-1,0,0,0,1,0,0,0,-0.4474193419405787,-0.5170880431093159,0,1.0,0.0
23,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4165463471484202,-0.25303597260195737,0,0.99,0.01
32,0,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4474193419405787,-0.47437373758606666,0,0.99,0.01
43,0,0,0,0,0,0,5,1,-1,0,0,0,0,0,0,1,-0.4474193419405787,-0.7190102146737665,0,1.0,0.0
32,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.277617870583707,1.0478087865151762,0,0.96,0.04
46,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.3603837715158765,1.098289329406289,0,0.96,0.04
53,2,1,0,1,0,0,5,1,-1,0,0,0,1,0,0,0,-0.13639034121532242,-0.36952953311990966,0,1.0,0.0
34,0,2,0,1,0,0,5,1,-1,0,0,0,1,0,0,0,-0.4464340335961481,0.16634084526267076,0,1.0,0.0
57,1,3,0,0,0,0,5,1,-1,0,0,0,1,0,0,0,-0.4336250251185504,-0.8238544191399235,0,1.0,0.0
37,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4352672056926014,-0.21032166707870822,0,1.0,0.0
59,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.42869848339639743,-0.6219322475754728,0,1.0,0.0
33,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.44019374741475437,-0.7267764520416299,0,1.0,0.0
56,2,1,0,1,0,0,5,2,-1,0,0,0,0,0,1,0,-0.4447918530220971,-0.39282824522350007,0,1.0,0.0
48,1,2,0,1,0,0,5,1,-1,0,0,0,1,0,0,0,-0.351187560301191,-0.058880038405370275,0,0.99,0.01
43,1,1,0,1,0,0,5,2,-1,0,0,0,0,0,0,1,-0.4464340335961481,-0.2802178033894796,0,1.0,0.0
54,1,1,0,1,0,0,5,2,-1,0,0,0,0,0,1,0,-0.33312357398663023,1.245847839395695,0,0.96,0.04
51,1,0,0,1,0,0,5,2,-1,0,0,0,0,0,1,0,-0.4536596281219724,-0.36952953311990966,0,1.0,0.0
26,0,2,0,1,0,0,5,2,-1,0,0,0,0,1,0,0,-0.4474193419405787,1.366224518597579,0,0.89,0.11
40,1,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.44873308639981946,6.891902405832448,0,0.84,0.16
39,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.44150749187399513,-0.6724127904665855,0,1.0,0.0
50,1,1,0,0,0,0,5,2,-1,0,0,0,0,0,1,0,-0.40176672198196134,-0.5598023486325651,0,1.0,0.0
41,1,2,0,1,0,0,5,2,-1,0,0,0,0,0,0,1,-0.4474193419405787,-0.5598023486325651,0,0.99,0.01
51,1,0,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,0.17102586224702165,-0.7811401136166743,0,1.0,0.0
60,2,2,0,1,0,0,5,1,-1,0,0,0,0,1,0,0,-0.3764771411415762,-0.07829563182502898,0,1.0,0.0
52,1,2,0,1,0,0,5,3,-1,0,0,0,0,0,1,0,-0.19058230015900487,-0.6413478409951316,0,1.0,0.0
48,1,2,0,1,0,0,5,2,-1,0,0,0,0,0,1,0,-0.15051309415216088,-0.5054386870575206,0,1.0,0.0
48,1,0,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,0.11256423381080666,-0.5869841794200872,0,1.0,0.0
39,0,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4319828445444994,-0.2996333968091383,0,0.99,0.01
47,0,2,0,1,0,0,5,2,-1,0,0,0,0,0,0,1,-0.38961458573398405,0.17410708263053426,0,1.0,0.0
40,1,2,0,1,0,0,5,5,-1,0,0,0,0,0,1,0,-0.045085101298087744,1.1643023470331284,0,0.86,0.14
45,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4191738360669018,0.045964166060786765,0,1.0,0.0
26,0,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.42048758052614255,-0.1171268186643464,0,1.0,0.0
52,1,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.35841315482701536,-0.6180491288915412,0,1.0,0.0
54,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,0.005165624267872345,-0.0705293944571655,0,1.0,0.0
54,1,3,0,0,0,0,5,2,-1,0,0,1,0,0,0,1,-0.3869870968155025,1.6108609956852789,1,0.27,0.73
50,1,1,0,0,0,0,5,3,-1,0,0,0,0,0,1,0,-0.4474193419405787,-0.0977112252446877,0,1.0,0.0
35,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4474193419405787,3.098095451631136,0,0.95,0.05
44,1,2,0,1,1,0,5,1,-1,0,0,0,0,0,0,1,-0.0017315341431417852,-0.03169820761784808,0,1.0,0.0
53,1,0,0,1,0,0,5,1,-1,0,0,0,1,0,0,0,-0.4411790557591849,-0.023931970249984596,0,1.0,0.0
35,0,1,0,0,0,0,5,1,-1,0,0,0,0,1,0,0,-0.3048780681129533,-0.4666075002182032,0,0.98,0.02
60,2,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.41720321937804056,-0.4976724496896571,0,1.0,0.0
53,2,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.0693893737940423,0.5973670191790942,0,0.99,0.01
48,1,2,0,1,0,0,5,2,-1,0,0,0,1,0,0,0,-0.4339534612333606,-0.3073996341770018,0,1.0,0.0
34,1,2,0,1,0,0,5,2,-1,0,0,0,0,0,1,0,-0.43066910008525866,-0.9286986236060805,0,1.0,0.0
54,1,2,0,1,0,0,5,2,-1,0,0,0,0,0,0,1,-0.37713401337119656,0.7759904786399543,0,0.98,0.02
51,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.06610501264594033,1.7817182177782755,0,0.95,0.05
31,1,3,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.4352672056926014,0.21293826946985167,0,1.0,0.0
35,2,2,0,1,0,0,5,2,-1,0,0,0,0,0,1,0,-0.18894011958495388,1.6496921825245963,0,0.86,0.14
35,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.4280416111667771,3.1796409439937023,0,0.83,0.17
38,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.3643250048935989,0.6128994939148211,0,0.99,0.01
36,1,3,0,1,0,0,5,2,-1,0,0,0,0,0,0,1,-0.3781193217156272,-0.43554255074674925,0,1.0,0.0
58,1,1,0,1,0,0,5,1,-1,0,0,0,0,1,0,0,-0.37023685496018244,-0.35399705838418266,0,1.0,0.0
40,2,0,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,0.9924445853873235,0.22070450683771517,0,0.99,0.01
54,1,2,0,0,0,0,5,1,-1,0,0,0,0,0,1,0,0.8926000064850238,-0.4588412628503397,0,1.0,0.0
34,0,2,0,1,1,0,5,1,-1,0,0,0,0,0,1,0,-0.43001222785563825,0.34108118603959914,0,1.0,0.0
31,0,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4474193419405787,1.1798348217688555,0,0.88,0.12
51,1,2,0,1,0,0,5,1,-1,0,0,0,0,1,0,0,0.25116427426070964,-0.33458146496452396,0,1.0,0.0
33,1,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.3235989266571345,-0.15984112418759558,0,1.0,0.0
55,1,3,0,1,0,0,5,2,-1,0,0,0,0,0,1,0,-0.42344350555943433,-0.45107502548247624,0,1.0,0.0
42,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.3012652708500412,-0.7423089267773569,0,1.0,0.0
34,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.36760936604170086,0.12750965842335335,0,1.0,0.0
33,0,2,0,1,0,0,5,2,-1,0,0,0,0,0,1,0,-0.3465894546938483,0.1974057947341247,0,1.0,0.0
38,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.3965117441449982,-0.03946444498571156,0,1.0,0.0
50,2,3,0,0,1,0,5,1,-1,0,0,0,0,0,1,0,-0.39059989407841467,-0.6219322475754728,0,1.0,0.0
43,1,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.3160448960165,-0.008399495514257628,0,1.0,0.0
61,2,1,0,1,0,0,5,2,-1,0,0,0,0,0,1,0,0.021587430008382178,-0.6840621465183807,0,0.97,0.03
47,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.3754918327971456,1.2380816020278316,0,0.97,0.03
48,1,3,0,1,0,0,5,1,-1,0,0,0,1,0,0,0,-0.4451202891369073,0.10809406500369463,0,1.0,0.0
44,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.2585685759247156,0.8497697336346574,0,1.0,0.0
35,0,0,0,1,0,0,5,2,-1,0,0,0,0,1,0,0,-0.34954537972714006,1.3701076372815109,0,0.99,0.01
35,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.4474193419405787,0.8264710215310669,0,0.97,0.03
50,1,2,0,1,0,0,5,2,-1,0,0,0,0,0,0,1,1.424338076362732,0.47699033997721013,0,0.98,0.02
41,1,3,0,1,1,0,5,1,-1,0,0,0,0,0,1,0,-0.38961458573398405,-0.8393868938756505,0,1.0,0.0
41,1,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.277617870583707,-0.02781508893391634,0,0.99,0.01
39,0,0,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.3630112604343581,0.5818345444433671,0,0.99,0.01
42,1,2,0,1,0,0,5,1,-1,0,0,0,0,1,0,0,-0.42902691951120764,-0.16760736155545905,0,1.0,0.0
38,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.5755094267165554,0.11197718368762638,0,1.0,0.0
53,1,2,0,1,0,0,5,2,-1,0,0,0,0,1,0,0,-0.3390354240532138,-0.16372424287152731,0,1.0,0.0
59,2,1,0,0,0,0,5,2,-1,0,0,0,1,0,0,0,-0.38337429955259034,0.418743559718234,0,0.99,0.01
36,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.34856007138270945,-0.18702295497511776,0,1.0,0.0
